bCls,bC,bCT,negA,npi,tin,tinT,zip,negT,negR,posH,mdH,nrP,_dT
1,27781,CPT,1,1275566424,990148164,1,96792,3,489.78,42,42,1,1
1,27818,CPT,1,1033394838,208296241,1,96743,3,497.11,42,42,1,1
1,27884,CPT,1,1972695690,943404867,1,94115,3,825.85,42,42,1,1
1,28002,CPT,1,1972695690,943404867,1,94115,3,651.25,42,42,1,1
1,28113,CPT,1,1275566424,990148164,1,96792,3,695.81,42,42,1,1
1,28150,CPT,1,1033394838,208296241,1,96743,3,457.84,42,42,1,1
1,28150,CPT,1,1275566424,990148164,1,96792,3,510.47,42,42,1,1
1,28305,CPT,1,1275566424,990148164,1,96792,3,767.82,42,42,1,1
1,28570,CPT,1,1275566424,990148164,1,96792,3,196.01,42,42,1,1
1,28665,CPT,1,1275566424,990148164,1,96792,3,180.07,42,42,1,1
1,28820,CPT,1,1972695690,943404867,1,94115,3,663.75,42,42,1,1
1,29131,CPT,1,1033606629,990149797,1,96819,3,27.96,42,42,1,1
1,30020,CPT,1,1033394838,208296241,1,96743,3,251.55,42,42,1,1
1,30120,CPT,1,1356449482,990339203,1,96826,3,802.25,42,42,1,1
1,30420,CPT,1,1972695690,943404867,1,94115,3,1872.15,42,42,1,1
1,30460,CPT,1,1356449482,990339203,1,96826,3,1421.0,42,42,1,1
1,31233,CPT,1,1033394838,208296241,1,96743,3,279.7,42,42,1,1
1,31233,CPT,1,1558326629,990157698,1,96817,3,432.36,42,42,1,1
1,31233,CPT,1,1548603574,990157698,1,96817,3,432.36,42,42,1,1
1,31233,CPT,1,1336536036,990157698,1,96817,3,432.36,42,42,1,1
1,31237,CPT,1,1275566424,990148164,1,96792,3,399.6,42,42,1,1
1,31267,CPT,1,1033394838,208296241,1,96743,3,318.35,42,42,1,1
1,31288,CPT,1,1275566424,990148164,1,96792,3,318.24,42,42,1,1
1,31296,CPT,1,1033394838,208296241,1,96743,3,2325.42,42,42,1,1
1,31297,CPT,1,1275566424,990148164,1,96792,3,4942.53,42,42,1,1
1,31505,CPT,1,1275566424,990148164,1,96792,3,103.39,42,42,1,1
1,31520,CPT,1,1033606629,990149797,1,96819,3,102.65,42,42,1,1
1,31561,CPT,1,1558326629,990157698,1,96817,3,535.59,42,42,1,1
1,31561,CPT,1,1548603574,990157698,1,96817,3,535.59,42,42,1,1
1,31561,CPT,1,1336536036,990157698,1,96817,3,535.59,42,42,1,1
1,31571,CPT,1,1033394838,208296241,1,96743,3,252.83,42,42,1,1
1,31603,CPT,1,1972695690,943404867,1,94115,3,305.45,42,42,1,1
1,31615,CPT,1,1033394838,208296241,1,96743,3,189.83,42,42,1,1
1,31622,CPT,1,1275566424,990148164,1,96792,3,386.62,42,42,1,1
1,31623,CPT,1,1275566424,990148164,1,96792,3,417.42,42,42,1,1
1,31624,CPT,1,1033394838,208296241,1,96743,3,332.75,42,42,1,1
1,31625,CPT,1,1033394838,208296241,1,96743,3,421.92,42,42,1,1
1,31625,CPT,1,1275566424,990148164,1,96792,3,414.69,42,42,1,1
1,31628,CPT,1,1033394838,208296241,1,96743,3,443.45,42,42,1,1
1,31628,CPT,1,1275566424,990148164,1,96792,3,487.75,42,42,1,1
1,31631,CPT,1,1033394838,208296241,1,96743,3,228.15,42,42,1,1
1,31661,CPT,1,1033394838,208296241,1,96743,3,220.35,42,42,1,1
1,31780,CPT,1,1275566424,990148164,1,96792,3,1392.38,42,42,1,1
1,32215,CPT,1,1972695690,943404867,1,94115,3,1150.85,42,42,1,1
1,32310,CPT,1,1275566424,990148164,1,96792,3,1060.9,42,42,1,1
1,32480,CPT,1,1972695690,943404867,1,94115,3,2143.85,42,42,1,1
1,32553,CPT,1,1275566424,990148164,1,96792,3,772.13,42,42,1,1
1,32562,CPT,1,1033394838,208296241,1,96743,3,84.61,42,42,1,1
1,32655,CPT,1,1033394838,208296241,1,96743,3,940.75,42,42,1,1
1,32656,CPT,1,1275566424,990148164,1,96792,3,929.49,42,42,1,1
1,32667,CPT,1,1033394838,208296241,1,96743,3,151.85,42,42,1,1
1,32900,CPT,1,1275566424,990148164,1,96792,3,1598.81,42,42,1,1
1,33020,CPT,1,1972695690,943404867,1,94115,3,1263.4,42,42,1,1
1,33030,CPT,1,1275566424,990148164,1,96792,3,1495.07,42,42,1,1
1,33243,CPT,1,1275566424,990148164,1,96792,3,1606.01,42,42,1,1
1,33405,CPT,1,1033394838,208296241,1,96743,3,2213.18,42,42,1,1
1,33425,CPT,1,1356449482,990339203,1,96826,3,4927.5,42,42,1,1
1,33475,CPT,1,1275566424,990148164,1,96792,3,2712.12,42,42,1,1
1,33476,CPT,1,1275566424,990148164,1,96792,3,1759.41,42,42,1,1
